study_id,title,year,venue,doi,detection_approach,learning_algorithm,metrics_reported,platform,ai_generation,vulnerability_classes,input_representation,quantum_aspects,artifact_dataset_availability
P79,SuiGPT MAD: Move AI Decompiler to Improve Transparency and Auditability on Non-Open-Source Blockchain Smart Contract,2025,WWW 2025,10.1145/3696410.3714790,Code/comment generation,Large language models,AUC/ROC,Move,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P80,Vulnerability Smart Contract Detection Model Based on CUR Matrix Decomposition,2025,ICCBE 2025,10.1109/ICCBE65177.2025.11255968,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy; F1-score,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P81,When ChatGPT Meets Smart Contract Vulnerability Detection: How Far Are We?,2025,ACM TOSEM,10.1145/3702973,LLM-assisted auditing,Large language models,F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P82,A Review of Learning-based Smart Contract Vulnerability Detection: A Perspective on Code Representation,2026,ACM TOSEM 35(6),10.1145/3750042,Surveys and empirical studies,Pretrained transformers (BERT/DeBERTa),Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P83,AI-Empowered Smart Contract Vulnerability Detection for Decentralized Blockchain Systems,2026,IEEE TNSE,10.1109/TNSE.2026.3658785,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P84,CCIHunter: Enhancing Smart Contract Code-Comment Inconsistencies Detection via Two-Stage Pre-Training,2026,ACM TOSEM,10.1145/3764867,Graph-based detection (GNN),Graph neural networks,F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P85,Digital Human-Assisted Smart Contract Vulnerability Detection Under Limited Sample Constraints,2026,ICASSP 2026,10.1109/ICASSP55912.2026.11461273,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P86,Empirical Analysis of Smart Contract Factories on EVM-compatible Chains,2026,ACM TOSEM,10.1145/3787216,Surveys and empirical studies,Pretrained transformers (BERT/DeBERTa),FPR/TPR/FNR/TNR,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P87,Enhancing Security and Acuity of Smart Contract Vulnerability Detection Based on Federated Learning and BiLSTM-Attention,2026,ACM TOSEM 35(4),10.1145/3746061,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P88,From Cryptic to Clear - Training on LLM Explanations to Detect Smart Contract Vulnerabilities,2026,ACM TOSEM 35(6),10.1145/3765753,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P89,MANDO-LLM: Heterogeneous Graph Transformers with Large Language Models for Smart Contract Vulnerability Detection,2026,ACM TOSEM 35(6),10.1145/3765751,LLM-assisted auditing,Large language models,F1-score,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P90,Multi-Objective-Guided Static Analysis for Smart Contract Vulnerability Detection,2026,ICSIE 2026,10.1145/3789595.3789604,LLM-assisted auditing,Large language models,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P91,No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis,2026,ACM TOSEM,10.1145/3795692,LLM-assisted auditing,Large language models,F1-score,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P92,ParaVul: A Parallel Large Language Model and Retrieval-Augmented Framework for Smart Contract Vulnerability Detection,2026,IEEE TIFS vol. 21,10.1109/TIFS.2026.3694661,LLM-assisted auditing,Large language models,F1-score; Precision/Recall,Ethereum/EVM,Gen 3,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P93,Smart Contracts and Security: A Comprehensive Survey of Vulnerabilities,2026,MELECON 2026,10.1109/MELECON64486.2026.11418841,Surveys and empirical studies,Pretrained transformers (BERT/DeBERTa),Accuracy; Precision/Recall,Ethereum/EVM,—,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
